elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
80,80.10624000053213,16996026,811.0,59.42,59.42,-1544.8082358634354,32.52876268216949
164,83.54659599899605,16996037,11.0,59.42,59.42,-20.090187718661447,34.210222832238124
247,83.42117000029248,16996042,5.0,59.42,59.42,-9.145633573855715,35.658053630169164
330,83.40778400088311,16996045,3.0,59.42,59.42,-5.488260806331376,37.028435473837305
414,83.41929899870593,16996050,5.0,59.42,59.42,-9.145838700188975,38.47623813061817
497,83.40886299993144,16996051,1.0,59.42,59.42,-1.8293966029140742,39.7693885835449
581,83.43088000037824,16996050,-1.0,59.42,59.42,1.8289138341140383,40.98562256766614
664,83.40194199990947,16996049,-1.0,59.42,59.42,1.8295484129753914,42.201421304365454
747,83.34824499979732,16996045,-4.0,59.42,59.42,7.3229083887907205,43.30054097182303
831,83.50678800161404,16996041,-4.0,59.42,59.42,7.30900537676294,44.40204523502625
914,83.37889999893378,16996038,-3.0,59.42,59.42,5.490162041965698,45.5402497845606
998,83.549111001048,16996032,-6.0,59.42,59.42,10.957954343027252,46.56514299514346
1082,83.82689599966398,16996027,-5.0,59.42,59.42,9.101368290292632,47.632838092897146
1166,83.82535599957919,16996018,-9.0,59.42,59.42,16.382763893444057,48.54601478873298
1249,83.83745900027861,16996009,-9.0,59.42,59.42,16.380398833657832,49.45937352202016
1333,83.81765199919755,16996001,-8.0,59.42,59.42,14.563795285170798,50.41105815420821
1417,83.81030800046574,16995992,-9.0,59.42,59.42,16.385705391004752,51.32400851779189
1501,83.83556000080716,16995984,-8.0,59.42,59.42,14.560684332379328,52.275962498635906
1585,83.76947399847268,16995968,-16.0,59.42,59.42,29.144342604377734,52.917932022055055
1668,83.76674100145465,16995959,-9.0,59.42,59.42,16.394227580146065,53.83022710802129
1752,83.7771509995946,16995947,-12.0,59.42,59.42,21.856253950541486,54.62680733807307
1836,83.72612399944046,16995931,-16.0,59.42,59.42,29.159432365653473,55.26812484770366
1919,83.47512699947401,16995918,-13.0,59.42,59.42,23.76327715125847,56.02153861933767
2003,83.39750000050117,16995904,-14.0,59.42,59.42,25.615042042473245,56.73516101772411
2086,83.39844300098775,16995887,-17.0,59.42,59.42,31.1036279249755,57.33292617004283
2170,83.39319399965461,16995870,-17.0,59.42,59.42,31.10558567448254,57.93061237377281
2253,83.41254600054526,16995853,-17.0,59.42,59.42,31.09836907037993,58.52858964490068
2336,83.40126899929601,16995832,-21.0,59.42,59.42,38.42082670411224,58.971902062919014
2420,83.5861659998045,16995813,-19.0,59.42,59.42,34.68480563974882,59.495243078570596
2504,83.61543499995605,16995796,-17.0,59.42,59.42,31.02291031107311,60.09627193973579
2587,83.4397849994275,16995777,-19.0,59.42,59.42,34.745654269062314,60.61741128450476
2671,83.47696700002416,16995756,-21.0,59.42,59.42,38.38598619813382,61.061862252496425
2754,83.74662999995053,16995735,-21.0,59.42,59.42,38.26238384908017,61.51036913740029
2838,83.58234000115772,16995709,-26.0,59.42,59.42,47.46559089150948,61.763285938700676
2922,83.79350199902547,16995691,-18.0,59.42,59.42,32.77798356347421,62.328369240138485
3005,83.71251300013682,16995671,-20.0,59.42,59.42,36.45521682636635,62.814986791724166
3089,83.726361999652,16995650,-21.0,59.42,59.42,38.271646188787216,63.263188831969295
3173,83.83205700010876,16995629,-21.0,59.42,59.42,38.22339350590959,63.7129805976866
3257,83.7346799999068,16995609,-20.0,59.42,59.42,36.445566072544814,64.19993155618864
3340,83.7694880010531,16995587,-22.0,59.42,59.42,40.07346438249448,64.61015843132951
3424,83.68990700000722,16995566,-21.0,59.42,59.42,38.28831716977202,65.05781216331717
3508,83.81577599902812,16995546,-20.0,59.42,59.42,36.410303145500755,65.54598286139948
3592,83.75956500094617,16995523,-23.0,59.42,59.42,41.899948791942215,65.91743667798222
3675,83.7756429991714,16995505,-18.0,59.42,59.42,32.78497105987197,66.48225136778417
3759,83.63904399993771,16995485,-20.0,59.42,59.42,36.48723929104537,66.96776389509692
3843,83.4901140005968,16995464,-21.0,59.42,59.42,38.3799416431758,67.41241260301575
3926,83.40385799965588,16995440,-24.0,59.42,59.42,43.908153205755895,67.73989253193608
4009,83.39208200050052,16995418,-22.0,59.42,59.42,40.254824117832335,68.14444296136202
4093,83.3948319996125,16995398,-20.0,59.42,59.42,36.594087898806244,68.62628237229411
4176,83.39685999999347,16995379,-19.0,59.42,59.42,34.76353812212147,69.14677609556067
4260,83.44867900086683,16995359,-20.0,59.42,59.42,36.57047480006603,69.62942540241144
4343,83.42637399982777,16995337,-22.0,59.42,59.42,40.23827757103443,70.03449160708301
4426,83.39565899950685,16995312,-25.0,59.42,59.42,45.74215626316422,70.32322440758983
4510,83.42229300069448,16995282,-30.0,59.42,59.42,54.87306275208584,70.41923875271311
4593,83.36180500009505,16995259,-23.0,59.42,59.42,42.099873969511556,70.78470998542306
4677,83.49685099892667,16995235,-24.0,59.42,59.42,43.85925135125246,71.11358859298511
4760,83.3590380007081,16995207,-28.0,59.42,59.42,51.25372173157405,71.28589915904969
4843,83.41322199885326,16995183,-24.0,59.42,59.42,43.90322406021369,71.6135199289557
4927,83.47542200135649,16995156,-27.0,59.42,59.42,49.354324280122256,71.82620480021848
5010,83.46827700006543,16995126,-30.0,59.42,59.42,54.842832310368784,71.92291077630631
5094,83.74691099925258,16995098,-28.0,59.42,59.42,51.01634062106638,72.10105521893169
5178,83.8523599995824,16995068,-30.0,59.42,59.42,54.59162650607326,72.20353806738932
5262,83.51444700019783,16995039,-29.0,59.42,59.42,52.98542931278127,72.33956228183547
5345,83.4129060003761,16995012,-27.0,59.42,59.42,49.39131417932405,72.55130686946376
5428,83.46822599924053,16994978,-34.0,59.42,59.42,62.15524792987939,72.49351683920631
5512,83.67521500076691,16994948,-30.0,59.42,59.42,54.70719996008429,72.59333530509456
5596,83.8043399999151,16994918,-30.0,59.42,59.42,54.622907581572,72.69509589974344
5680,83.75981800054433,16994891,-27.0,59.42,59.42,49.18674783710999,72.91205828235627
5763,83.75807199990959,16994864,-27.0,59.42,59.42,49.18777317223165,73.12899440391918
5847,83.76279399999476,16994829,-35.0,59.42,59.42,63.758333704524404,73.03701106909412
5931,83.66793899949698,16994796,-33.0,59.42,59.42,60.183153198685496,73.02084866947766
6014,83.43673499985016,16994767,-29.0,59.42,59.42,53.03477932271615,73.15570404201156
6098,83.4262749995105,16994736,-31.0,59.42,59.42,56.69945840687187,73.21315446932023
6181,83.40513999974064,16994705,-31.0,59.42,59.42,56.713826142965644,73.27028701170202
6265,83.41094300158147,16994675,-30.0,59.42,59.42,54.88052950873853,73.36613064503554
6348,83.45399499921768,16994643,-32.0,59.42,59.42,58.509032432129494,73.38537419038283
6431,83.48294000097667,16994617,-26.0,59.42,59.42,47.52210638728807,73.63679594734299
6515,83.39781999893603,16994585,-32.0,59.42,59.42,58.54844287371413,73.65519458206573
6598,83.39104900005623,16994556,-29.0,59.42,59.42,53.06383456241228,73.78936280575363
6682,83.39602100022603,16994529,-27.0,59.42,59.42,49.4013143248625,74.00085343137123
6765,83.42035100031353,16994500,-29.0,59.42,59.42,53.04519550760903,74.13546237728812
6848,83.38455599914596,16994474,-26.0,59.42,59.42,47.57817690233469,74.38540437122174
6932,83.40473200041743,16994447,-27.0,59.42,59.42,49.39615472722076,74.59702601627103
7015,83.49443900078768,16994419,-28.0,59.42,59.42,51.17060475679936,74.771373106465
7099,83.45449199987343,16994394,-25.0,59.42,59.42,45.70990936750038,75.06099079574503
7182,83.41906499845209,16994371,-23.0,59.42,59.42,42.07097603455664,75.42732325819651
7266,83.42798400008178,16994349,-22.0,59.42,59.42,40.23750104936863,75.83241367837877
7349,83.51035100167792,16994324,-25.0,59.42,59.42,45.679334595879666,76.12287152544899
7433,83.45686299981026,16994298,-26.0,59.42,59.42,47.536955184368956,76.37390106638367
7516,83.44237199889903,16994275,-23.0,59.42,59.42,42.059224831495754,76.74058408214543
7600,83.43649500056927,16994255,-20.0,59.42,59.42,36.57581508522354,77.22305013325526
7683,83.45188599923858,16994231,-24.0,59.42,59.42,43.882883306357066,77.55125243630854
7766,83.44018600109848,16994211,-20.0,59.42,59.42,36.574197143566096,78.03377400260388
7850,83.49858499968832,16994187,-24.0,59.42,59.42,43.85834053371886,78.36267869072951
7933,83.47602899993944,16994163,-24.0,59.42,59.42,43.870191465416454,78.69124412111167
8017,83.44874499925936,16994141,-22.0,59.42,59.42,40.22749046471333,79.09664680099473
8100,83.46512100069958,16994121,-20.0,59.42,59.42,36.56327069213044,79.57954340682689
8184,83.38804699997127,16994102,-19.0,59.42,59.42,34.76721216262565,80.09990457651416
8267,83.43406399944797,16994076,-26.0,59.42,59.42,47.54994502336898,80.35059120480908
8351,83.39026900102908,16994055,-21.0,59.42,59.42,38.425894789780045,80.79373817529097
8434,83.39913700001489,16994030,-25.0,59.42,59.42,45.74024867456745,81.08252328731655
8517,83.4188129992981,16994007,-23.0,59.42,59.42,42.07110312639584,81.4488519595275
8601,83.39385299950663,16993984,-23.0,59.42,59.42,42.08369511834119,81.8148052161816
8684,83.44977100023243,16993958,-26.0,59.42,59.42,47.540995124347916,82.06572808856689
8768,83.3920400000352,16993931,-27.0,59.42,59.42,49.403672663161394,82.27715883720467
8851,83.41210700018564,16993905,-26.0,59.42,59.42,47.56246184071541,82.52751521713523
8934,83.39446100035275,16993879,-26.0,59.42,59.42,47.57252590472668,82.7776061890967
9018,83.40143200075545,16993856,-23.0,59.42,59.42,42.07987081496647,83.14367343914014
9101,83.42001299934054,16993827,-29.0,59.42,59.42,53.045410435982326,83.27827730129003
9185,83.41906999885396,16993799,-28.0,59.42,59.42,51.21683731979626,83.45149078987873
9268,83.44043300166959,16993774,-25.0,59.42,59.42,45.71761109567433,83.7408970221602
9351,83.42913599881285,16993743,-31.0,59.42,59.42,56.697514036850485,83.79839048086531
9435,83.39237099971797,16993711,-32.0,59.42,59.42,58.55226852845464,83.81670715889362
9518,83.39990900094563,16993682,-29.0,59.42,59.42,53.058197318594516,83.95100864308614
9602,83.39760600028967,16993649,-33.0,59.42,59.42,60.378236643957266,83.93078024930767
9685,83.41750799991132,16993626,-23.0,59.42,59.42,42.07176129474799,84.29708929343066
9769,83.4297349992994,16993593,-33.0,59.42,59.42,60.35498483445123,84.27734414188599
9852,83.34439800091786,16993562,-31.0,59.42,59.42,56.75515958880531,84.33356308284536
9935,83.41378899967822,16993535,-27.0,59.42,59.42,49.390791334162905,84.54532095139022
10019,83.38304399876506,16993504,-31.0,59.42,59.42,56.728854962947345,84.60212115472635
10102,83.3916860010504,16993472,-32.0,59.42,59.42,58.552749490380805,84.62042752990378
10186,83.46832200004428,16993439,-33.0,59.42,59.42,60.32708301746295,84.60126275337886
10269,83.45406799890043,16993414,-25.0,59.42,59.42,45.7101416035856,84.89087406539274
10352,83.37771600054111,16993380,-34.0,59.42,59.42,62.2227200516782,84.83172270252922
10436,83.52304999971238,16993351,-29.0,59.42,59.42,52.97997173403316,84.96787631200263
10519,83.42961300149909,16993318,-33.0,59.42,59.42,60.35507309058862,84.94812932552718
10603,83.41688399923441,16993289,-29.0,59.42,59.42,53.04740019017748,85.08268612536428
10686,83.4344790000614,16993261,-28.0,59.42,59.42,51.20737839684785,85.25613137592481
10770,83.40437399965595,16993228,-33.0,59.42,59.42,60.373337142315485,85.23600477750982
10853,83.40963800037571,16993196,-32.0,59.42,59.42,58.54014736256266,85.25458116309909
10936,83.42542399986996,16993170,-26.0,59.42,59.42,47.55486955938257,85.50513783986037
11020,83.38635899963265,16993139,-31.0,59.42,59.42,56.726599723533184,85.56198790308859
11103,83.38097399973776,16993112,-27.0,59.42,59.42,49.410229327471725,85.77325221147404
11187,83.39334100128326,16993081,-31.0,59.42,59.42,56.72185036095641,85.83020728880723
11270,83.40242599842895,16993057,-24.0,59.42,59.42,43.908907099045095,86.15766567944459
11353,83.43816300111939,16993028,-29.0,59.42,59.42,53.033871659730025,86.29254253009935
11437,83.3909049997601,16993003,-25.0,59.42,59.42,45.74476396000229,86.58120382718161
11520,83.390555000733,16992976,-27.0,59.42,59.42,49.404552432092416,86.79261224040896
11604,83.39205099946412,16992951,-25.0,59.42,59.42,45.74413532111728,87.08129077411462
11687,83.39315800003533,16992924,-27.0,59.42,59.42,49.403010338968755,87.29273833824104
11770,83.38869299950602,16992899,-25.0,59.42,59.42,45.74597740304669,87.58136636531871
11854,83.38533099959022,16992874,-25.0,59.42,59.42,45.747821827843396,87.8699438256063
11937,83.39249500022561,16992851,-23.0,59.42,59.42,42.08438042734547,88.23587665701757
12021,83.39327000066987,16992827,-24.0,59.42,59.42,43.91372798992752,88.56319733515389
12104,83.40332999978273,16992802,-25.0,59.42,59.42,45.73794913985974,88.85204551277867
12187,83.39567800067016,16992775,-27.0,59.42,59.42,49.401517508400055,89.06353097944714
12271,83.39598599923193,16992750,-25.0,59.42,59.42,45.741976905940454,89.35226869825463
12354,83.38928199918882,16992730,-20.0,59.42,59.42,36.59652343006966,89.83402463336475
