elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
80,80.30774999861023,16995075,3.0,59.42,59.42,-5.700118256120011,1.3237552010005813
164,83.58341200073482,16995089,14.0,59.42,59.42,-25.55806729607089,3.1216405184897273
247,83.4646219991555,16995096,7.0,59.42,59.42,-12.797221251248311,4.647372483985822
331,83.42375800202717,16995099,3.0,59.42,59.42,-5.487209912838936,6.0179945876132965
414,83.41287700022804,16995103,4.0,59.42,59.42,-7.3172342742515815,7.427076843307476
498,83.35962999990443,16995103,0.0,59.42,59.42,-0.0,8.680862988251663
581,83.43750499989255,16995100,-3.0,59.42,59.42,5.486305851014954,9.819948997291377
664,83.4710709968931,16995103,3.0,59.42,59.42,-5.48409965761717,11.191282720889319
748,83.56762800030992,16995100,-3.0,59.42,59.42,5.477763134228272,12.332325869314872
831,83.4330690013303,16995098,-2.0,59.42,59.42,3.6577316992274866,13.509968967700912
915,83.43006100039929,16995096,-2.0,59.42,59.42,3.6578635756785487,14.687566823684948
998,83.44366799792624,16995094,-2.0,59.42,59.42,3.657267094941036,15.865369338266602
1082,83.47895800034166,16995092,-2.0,59.42,59.42,3.6557210171304604,17.04370263874646
1165,83.41942700280924,16995087,-5.0,59.42,59.42,9.145824666229213,18.10526912265251
1249,83.40745299938135,16995082,-5.0,59.42,59.42,9.147137644050334,19.166655509314875
1332,83.40566200058674,16995080,-2.0,59.42,59.42,3.6589336254875975,20.34388638756742
1415,83.40612899701227,16995074,-6.0,59.42,59.42,10.976739416629627,21.36662905050945
1499,83.40960700297728,16995068,-6.0,59.42,59.42,10.976281709579576,22.38942402505232
1582,83.40879199749907,16995062,-6.0,59.42,59.42,10.976388961219474,23.412206741352488
1666,83.4044300027017,16995055,-7.0,59.42,59.42,12.806456855354096,24.396300040437577
1749,83.42959799847449,16995051,-4.0,59.42,59.42,7.315767750806617,25.49664331292545
1833,83.42351700048312,16995043,-8.0,59.42,59.42,14.63260203945766,26.442399883765027
1916,83.41937899967888,16995036,-7.0,59.42,59.42,12.804161900787006,27.42671802604209
1999,83.45254799860413,16995025,-11.0,59.42,59.42,20.112828632902556,28.25703981360886
2083,83.44063000185997,16995016,-9.0,59.42,59.42,16.458301136920802,29.164429965939878
2166,83.46340999923996,16995006,-10.0,59.42,59.42,18.28201011993034,30.03353893527829
2250,83.40347500052303,16994995,-11.0,59.42,59.42,20.12466263383479,30.863122631216232
2333,83.41751099942485,16994982,-13.0,59.42,59.42,23.779690311530356,31.615669818598505
2417,83.42982099929941,16994971,-11.0,59.42,59.42,20.118307540047276,32.445649776470916
2500,83.47338699968532,16994962,-9.0,59.42,59.42,16.451842497180294,33.35353261656967
2583,83.43722100107698,16994950,-12.0,59.42,59.42,21.945298099949486,34.14500006574187
2667,83.58747699821834,16994937,-13.0,59.42,59.42,23.73133691028001,34.90010365859762
2751,83.44867200139561,16994928,-9.0,59.42,59.42,16.456715040378747,35.807614768130534
